filename,n_electrodes,n_samples,duration_sec,fs_eeg,bands,n_windows,condition
bb02_ut17.mat,47,5616,22.464,250,"{'delta': {'n_windows': 87, 'window_shape': (87, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 87, 'window_shape': (87, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 87, 'window_shape': (87, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 87, 'window_shape': (87, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 87, 'window_shape': (87, 47, 250), 'freq_range': (30, 50)}}",87,slow
bb02_ut18.mat,47,5014,20.056,250,"{'delta': {'n_windows': 77, 'window_shape': (77, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 77, 'window_shape': (77, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 77, 'window_shape': (77, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 77, 'window_shape': (77, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 77, 'window_shape': (77, 47, 250), 'freq_range': (30, 50)}}",77,slow
bb02_ut19.mat,47,5688,22.752,250,"{'delta': {'n_windows': 88, 'window_shape': (88, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 88, 'window_shape': (88, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 88, 'window_shape': (88, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 88, 'window_shape': (88, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 88, 'window_shape': (88, 47, 250), 'freq_range': (30, 50)}}",88,slow
bb02_ut20.mat,47,5186,20.744,250,"{'delta': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (30, 50)}}",80,slow
bb02_ut21.mat,47,5046,20.184,250,"{'delta': {'n_windows': 78, 'window_shape': (78, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 78, 'window_shape': (78, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 78, 'window_shape': (78, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 78, 'window_shape': (78, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 78, 'window_shape': (78, 47, 250), 'freq_range': (30, 50)}}",78,slow
bb02_ut22.mat,47,5741,22.964,250,"{'delta': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (30, 50)}}",89,slow
bb02_ut23.mat,47,5159,20.636,250,"{'delta': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 80, 'window_shape': (80, 47, 250), 'freq_range': (30, 50)}}",80,slow
bb04_ut01.mat,47,4606,18.424,250,"{'delta': {'n_windows': 71, 'window_shape': (71, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 71, 'window_shape': (71, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 71, 'window_shape': (71, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 71, 'window_shape': (71, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 71, 'window_shape': (71, 47, 250), 'freq_range': (30, 50)}}",71,slow
bb04_ut02.mat,47,5709,22.836,250,"{'delta': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 89, 'window_shape': (89, 47, 250), 'freq_range': (30, 50)}}",89,slow
bb04_ut03.mat,47,5430,21.72,250,"{'delta': {'n_windows': 84, 'window_shape': (84, 47, 250), 'freq_range': (0.5, 4)}, 'theta': {'n_windows': 84, 'window_shape': (84, 47, 250), 'freq_range': (4, 8)}, 'alpha': {'n_windows': 84, 'window_shape': (84, 47, 250), 'freq_range': (8, 13)}, 'beta': {'n_windows': 84, 'window_shape': (84, 47, 250), 'freq_range': (13, 30)}, 'gamma': {'n_windows': 84, 'window_shape': (84, 47, 250), 'freq_range': (30, 50)}}",84,slow
