filename,condition,subject,band,wasserstein_h0,wasserstein_h1,n_windows,tau,corr_mean_persistence_r,corr_mean_persistence_p,corr_total_persistence_r,corr_total_persistence_p,corr_persistence_entropy_r,corr_persistence_entropy_p,corr_max_persistence_r,corr_max_persistence_p,corr_n_features_r,corr_n_features_p
bb51_ut03.mat,fast,bb51,beta,14.633807725372902,1.1853916540795788,15,3,-0.24285714285714283,0.38312834183934175,-0.028571428571428564,0.9194899083821857,-0.1928571428571428,0.4910487016052232,0.2642857142857143,0.3411737579900821,-0.003626486668453208,0.9897660400322577
bb51_ut03.mat,fast,bb51,gamma,16.919193096773867,0.9886716463300413,15,2,0.03214285714285714,0.9094621170945906,-0.5249999999999999,0.04448390580010643,-0.20357142857142854,0.46679507248911234,-0.08214285714285713,0.7710285652881772,-0.5574223622449249,0.030859069181226658
bb51_ut05.mat,fast,bb51,delta,15.739415639333341,0.8945000738616713,15,29,0.035714285714285705,0.8994469934720875,-0.075,0.7905107941552679,-0.24014491171543909,0.38862825143295077,0.5678571428571427,0.02722835670886186,0.02849385063208056,0.9197078604246876
bb51_ut05.mat,fast,bb51,theta,15.618247492824946,1.5546756090520168,15,11,-0.11428571428571425,0.6850657626568972,-0.014285714285714282,0.9596997645989476,-0.22142857142857136,0.42771371901637,-0.33928571428571425,0.2160289253419548,-0.03161761496342176,0.9109361213359619
bb51_ut05.mat,fast,bb51,alpha,15.128302610322086,1.1968396285837521,15,6,-0.5,0.05769884126896001,-0.1607142857142857,0.5671967045803448,0.3,0.27731678036838386,0.05714285714285713,0.8396998687415758,0.07357315435882465,0.7944167435554754
bb51_ut05.mat,fast,bb51,beta,13.519331622584854,1.0914205867618425,15,4,0.10357142857142855,0.7133796306287292,-0.11428571428571425,0.6850657626568972,0.049999999999999996,0.859540943467457,-0.075,0.7905107941552679,0.11621697081307107,0.680002073106394
bb51_ut05.mat,fast,bb51,gamma,16.976737552972732,1.1289539049107886,15,2,-0.37857142857142856,0.16409082655922064,0.12857142857142856,0.6479163294665075,-0.38928571428571423,0.15151193679039388,-0.1357142857142857,0.6296204418728145,-0.174071360085754,0.5349587991152509
bb51_ut06.mat,fast,bb51,delta,14.68101737895202,0.8364289612604324,15,90,0.03189324416719217,0.9101625802275275,0.0956797325015765,0.7344611040250806,0.3575124138410024,0.19078277155728685,-0.5443113671200795,0.0359239599192358,0.22170694984042927,0.4271181052657441
bb51_ut06.mat,fast,bb51,theta,16.16386493225414,1.5340679021613555,15,12,-0.2178571428571428,0.43539267351553756,0.09999999999999999,0.7228973252791182,0.125,0.6571356681869504,-0.10357142857142855,0.7133796306287292,-0.3203778655974191,0.24435008427227098
bb51_ut06.mat,fast,bb51,alpha,15.736669830262464,1.2764097422904321,15,7,-0.2928571428571428,0.289471667212401,-0.24285714285714283,0.38312834183934175,-0.0035714285714285704,0.9899214068809781,-0.014285714285714282,0.9596997645989476,-0.07518424379832636,0.7900067671093977
bb51_ut06.mat,fast,bb51,beta,13.995892785642626,1.1394855675612223,15,4,-0.42499999999999993,0.11429547548052224,-0.34642857142857136,0.2058959920935512,-0.07857142857142857,0.7807545523090466,0.049999999999999996,0.859540943467457,-0.026126507816391475,0.9263612957057611
bb51_ut06.mat,fast,bb51,gamma,16.58120566909828,1.056660194566095,15,2,-0.42499999999999993,0.11429547548052224,0.07142857142857141,0.8002959873970544,-0.4357142857142856,0.10449335704406641,-0.5607142857142856,0.029676496094474678,0.2424366106925306,0.3839783461837529
bb51_ut07.mat,fast,bb51,delta,15.319131224714052,0.8272428151752671,15,43,0.15714285714285714,0.5759526006037947,0.38928571428571423,0.15151193679039388,0.04728054288446502,0.8671160892776453,0.15714285714285714,0.5759526006037947,0.1767355210700802,0.5286276267023144
bb51_ut07.mat,fast,bb51,theta,15.838493519962118,1.6020009095274403,15,10,0.2071428571428571,0.4588428049634703,0.8535714285714284,5.17314356670977e-05,0.2821428571428571,0.30828445682005556,-0.0035714285714285704,0.9899214068809781,-0.03429692286801255,0.9034200062061581
bb51_ut07.mat,fast,bb51,alpha,14.68272648920783,1.214204797143576,15,7,0.3,0.27731678036838386,0.13928571428571426,0.6205460876279014,0.16428571428571426,0.5584973732486012,0.28571428571428564,0.3019363513225493,-0.03025308429109198,0.9147666969596129
bb51_ut07.mat,fast,bb51,beta,13.65919026871831,1.146090683538788,15,4,0.16428571428571426,0.5584973732486012,0.25,0.36884629178393047,-0.05714285714285713,0.8396998687415758,-0.3321428571428571,0.2264717590707243,0.1540617027161645,0.5835512252566178
bb51_ut07.mat,fast,bb51,gamma,16.945914499152117,1.0736635933381031,15,2,0.44999999999999996,0.09235737494812256,0.07857142857142857,0.7807545523090466,-0.08928571428571427,0.751672517350277,0.13928571428571426,0.6205460876279014,-0.14519080172812554,0.6056536008584052
bb51_ut08.mat,fast,bb51,delta,14.359789607718913,0.9414951597531076,15,61,-0.28928571428571426,0.29566536100437785,-0.17857142857142855,0.5242843600465525,0.1091089451179962,0.6987000840781057,0.05714285714285713,0.8396998687415758,-0.20096162371561183,0.47264832697688697
bb51_ut08.mat,fast,bb51,theta,17.440604726550195,1.6735127600613775,15,11,-0.15714285714285714,0.5759526006037947,0.27499999999999997,0.3212111733193767,-0.2928571428571428,0.289471667212401,-0.33928571428571425,0.2160289253419548,-0.14828597687881045,0.597904383598638
bb51_ut08.mat,fast,bb51,alpha,15.713023549449485,1.425937033694018,15,6,-0.47857142857142854,0.07113080825563321,0.12142857142857141,0.6664011137233894,0.2928571428571428,0.289471667212401,-0.09999999999999999,0.7228973252791182,0.1903961841263782,0.4967020879747486
bb51_ut08.mat,fast,bb51,beta,13.809802266152092,1.1941819337201878,15,4,-0.18928571428571428,0.49926303323854526,-0.27499999999999997,0.3212111733193767,0.807142857142857,0.0002752442706954192,-0.017857142857142853,0.9496353041738621,-0.12897196261682245,0.6468853097081625
bb51_ut08.mat,fast,bb51,gamma,17.171377186549908,1.1525962117447655,15,2,0.1357142857142857,0.6296204418728145,0.13214285714285715,0.6387442188840665,-0.11428571428571425,0.6850657626568972,-0.11428571428571425,0.6850657626568972,-0.20110529385374437,0.47232518383022304
bb51_ut10.mat,fast,bb51,delta,13.716212886486732,0.8779550692103456,15,85,0.06591270461219714,0.8154624917384873,0.3550781183947394,0.19403864130538184,-0.03622089663122213,0.8980274440640674,0.05528162322313309,0.8448617598438116,0.15268887820201774,0.5869499933206281
bb51_ut10.mat,fast,bb51,theta,15.577788764288076,1.513854295178092,15,13,0.021428571428571425,0.9395779040128779,-0.05714285714285713,0.8396998687415758,-0.0964285714285714,0.7324528633867308,-0.1857142857142857,0.5075409629336737,0.28546189509832215,0.3023824379407387
bb51_ut10.mat,fast,bb51,alpha,15.432131462957805,1.3703560176334766,15,7,0.3142857142857143,0.2539400163236714,0.13928571428571426,0.6205460876279014,-0.46071428571428563,0.08393338135031411,-0.4678571428571427,0.0786302311543806,0.16772611133664342,0.5501715853017385
bb51_ut10.mat,fast,bb51,beta,14.19492845186783,1.1115683322078784,15,4,0.11785714285714284,0.6757115292213043,0.25357142857142856,0.3618161038158896,-0.3285714285714285,0.23180969720615968,-0.075,0.7905107941552679,-0.030221605030640246,0.914855087891699
bb51_ut10.mat,fast,bb51,gamma,16.94546149446067,1.0653415701324955,15,2,0.10714285714285714,0.7039010016261615,0.39642857142857135,0.1434945314423536,0.13214285714285715,0.6387442188840665,0.3214285714285714,0.24271904680166836,-0.28026679049390213,0.31164993395769636
bb51_ut11.mat,fast,bb51,delta,14.850249834241652,0.9207620926232086,15,55,-0.4392857142857142,0.10136057119347243,-0.4107142857142856,0.12832864601574887,0.014298486495941554,0.9596637609764994,-0.13214285714285715,0.6387442188840665,0.1849352215348956,0.5093550643471626
bb51_ut11.mat,fast,bb51,theta,15.430987302043269,1.6083709827724262,15,12,-0.4928571428571427,0.06195100671416867,-0.22499999999999998,0.420104686907635,0.25,0.36884629178393047,0.08214285714285713,0.7710285652881772,-0.31131234467451874,0.2587028784829633
bb51_ut11.mat,fast,bb51,alpha,15.611138815023578,1.2626761738647514,15,7,-0.17857142857142855,0.5242843600465525,-0.14285714285714282,0.6115222287644655,-0.35,0.2009453508162933,-0.2607142857142857,0.34797945986279355,-0.29576302986717357,0.28448932096865925
bb51_ut11.mat,fast,bb51,beta,13.163171243348678,1.1059679281698584,15,4,0.075,0.7905107941552679,-0.049999999999999996,0.859540943467457,-0.33571428571428563,0.22121153763932594,0.21071428571428572,0.450957865215285,0.2746161915413239,0.32191444043909706
bb51_ut11.mat,fast,bb51,gamma,15.951135838554103,0.987495434101446,15,2,0.06785714285714285,0.8101088187105131,0.42499999999999993,0.11429547548052224,0.15,0.5936302027425882,0.3142857142857143,0.2539400163236714,0.37794407869247676,0.16484809958425334
bb51_ut13.mat,fast,bb51,delta,16.044244430661,1.003278381767476,15,32,-0.07857142857142857,0.7807545523090466,-0.14285714285714282,0.6115222287644655,0.10752757240989809,0.7028823426400057,0.20357142857142854,0.46679507248911234,-0.03372836405925628,0.9050143373529338
bb51_ut13.mat,fast,bb51,theta,14.732624776054289,1.3877668474886484,15,11,-0.18928571428571428,0.49926303323854526,0.5285714285714286,0.04279728930945035,0.3928571428571428,0.14746665531132622,-0.1357142857142857,0.6296204418728145,-0.14441470504262818,0.6076028488945107
bb51_ut13.mat,fast,bb51,alpha,14.730186154967454,1.2118093256586808,15,7,-0.0857142857142857,0.7613341261907667,-0.14285714285714282,0.6115222287644655,-0.16785714285714282,0.5498555542278019,-0.017857142857142853,0.9496353041738621,0.352087114337568,0.1980878816756756
bb51_ut13.mat,fast,bb51,beta,12.690027514326475,1.105318878132394,15,4,0.16785714285714282,0.5498555542278019,-0.05714285714285713,0.8396998687415758,0.06428571428571428,0.8199479653196377,-0.24642857142857136,0.37595051597380524,0.29204339963833637,0.2908760804649587
bb51_ut13.mat,fast,bb51,gamma,16.61921969360155,1.0813073413041008,15,2,0.2642857142857143,0.3411737579900821,-0.05357142857142857,0.8496099367776071,-0.0035714285714285704,0.9899214068809781,0.13928571428571426,0.6205460876279014,0.2105277026649853,0.4513681222459991
bb51_ut14.mat,fast,bb51,delta,14.822559143487185,0.944046608635663,15,49,-0.125,0.6571356681869504,-0.175,0.5327481481378592,-0.44866685642238835,0.09344570147444572,-0.007142857142857141,0.9798442277615982,-0.2651314158237081,0.33957324210567486
bb51_ut14.mat,fast,bb51,theta,14.893269734402065,1.4929354765986702,15,12,-0.2607142857142857,0.34797945986279355,0.0,1.0,-0.010714285714285713,0.9697698761545686,-0.017857142857142853,0.9496353041738621,-0.4444170663843657,0.09697531939843262
bb51_ut14.mat,fast,bb51,alpha,14.64582262305662,1.2786853048284634,15,6,0.05357142857142857,0.8496099367776071,0.1607142857142857,0.5671967045803448,0.18928571428571428,0.49926303323854526,0.035714285714285705,0.8994469934720875,0.17300980147899495,0.5374908356063426
bb51_ut14.mat,fast,bb51,beta,12.45411735961196,1.0516586336851168,15,3,-0.010714285714285713,0.9697698761545686,0.09285714285714285,0.742045009907367,-0.16428571428571426,0.5584973732486012,-0.5392857142857141,0.03802165626355798,0.12239392506029578,0.6638921902732811
bb51_ut14.mat,fast,bb51,gamma,16.461695587222867,0.9933995049521279,15,2,-0.12142857142857141,0.6664011137233894,-0.09285714285714285,0.742045009907367,0.08214285714285713,0.7710285652881772,0.10714285714285714,0.7039010016261615,0.2859757783137337,0.3014745836661509
bb51_ut16.mat,fast,bb51,delta,13.28692734763654,0.8596928776457287,15,81,0.5454356057317856,0.03546680288504061,0.49043369591009295,0.06344408427215247,0.0,1.0,0.013750477455423168,0.9612086095232748,0.14045322472162491,0.6175905546417156
bb51_ut16.mat,fast,bb51,theta,15.600677899087126,1.4427202584652528,15,12,0.12142857142857141,0.6664011137233894,-0.11785714285714284,0.6757115292213043,-0.0035714285714285704,0.9899214068809781,0.017857142857142853,0.9496353041738621,0.33338352432703167,0.2246356230016421
